"completion_code","question_index","response","subscale"
"0p8dfxsx",11,4,"mistrust"
"0p8dfxsx",12,1,"credulity"
"0p8dfxsx",13,0,"credulity"
"0p8dfxsx",14,4,"trust"
"0p8dfxsx",15,1,"mistrust"
"0p8dfxsx",16,1,"credulity"
"bcx7mlow",1,6,"trust"
"bcx7mlow",2,5,"trust"
"bcx7mlow",3,4,"mistrust"
"bcx7mlow",4,4,"mistrust"
"bcx7mlow",5,4,"credulity"
"bcx7mlow",6,4,"credulity"
"bcx7mlow",7,5,"trust"
"bcx7mlow",8,5,"trust"
"bcx7mlow",9,5,"mistrust"
"bcx7mlow",10,3,"catch"
"bcx7mlow",11,2,"mistrust"
"bcx7mlow",12,4,"credulity"
"bcx7mlow",13,5,"credulity"
"bcx7mlow",14,5,"trust"
"bcx7mlow",15,1,"mistrust"
"bcx7mlow",16,3,"credulity"
"9uledqxn",1,6,"trust"
"9uledqxn",2,6,"trust"
"9uledqxn",3,4,"mistrust"
"9uledqxn",4,1,"mistrust"
"9uledqxn",5,0,"credulity"
"9uledqxn",6,1,"credulity"
"9uledqxn",7,6,"trust"
"9uledqxn",8,6,"trust"
"9uledqxn",9,5,"mistrust"
"9uledqxn",10,3,"catch"
"9uledqxn",11,0,"mistrust"
"9uledqxn",12,0,"credulity"
"9uledqxn",13,0,"credulity"
"9uledqxn",14,6,"trust"
"9uledqxn",15,0,"mistrust"
"9uledqxn",16,6,"credulity"
"uu6sywal",1,1,"trust"
"uu6sywal",2,5,"trust"
"uu6sywal",3,4,"mistrust"
"uu6sywal",4,1,"mistrust"
"uu6sywal",5,0,"credulity"
"uu6sywal",6,1,"credulity"
"uu6sywal",7,4,"trust"
"uu6sywal",8,4,"trust"
"uu6sywal",9,5,"mistrust"
"uu6sywal",10,3,"catch"
"uu6sywal",11,5,"mistrust"
"uu6sywal",12,1,"credulity"
"uu6sywal",13,1,"credulity"
"uu6sywal",14,5,"trust"
"uu6sywal",15,3,"mistrust"
"uu6sywal",16,4,"credulity"
"sheb66w1",1,2,"trust"
"sheb66w1",2,4,"trust"
"sheb66w1",3,5,"mistrust"
"sheb66w1",4,2,"mistrust"
"sheb66w1",5,1,"credulity"
"sheb66w1",6,1,"credulity"
"sheb66w1",7,4,"trust"
"sheb66w1",8,5,"trust"
"sheb66w1",9,4,"mistrust"
"sheb66w1",10,3,"catch"
"sheb66w1",11,2,"mistrust"
"sheb66w1",12,1,"credulity"
"sheb66w1",13,1,"credulity"
"sheb66w1",14,2,"trust"
"sheb66w1",15,1,"mistrust"
"sheb66w1",16,1,"credulity"
"u4xtx2dm",1,5,"trust"
"u4xtx2dm",2,6,"trust"
"u4xtx2dm",3,4,"mistrust"
"u4xtx2dm",4,3,"mistrust"
"u4xtx2dm",5,1,"credulity"
"u4xtx2dm",6,5,"credulity"
"u4xtx2dm",7,5,"trust"
"u4xtx2dm",8,6,"trust"
"u4xtx2dm",9,2,"mistrust"
"u4xtx2dm",10,3,"catch"
"u4xtx2dm",11,2,"mistrust"
"u4xtx2dm",12,1,"credulity"
"u4xtx2dm",13,0,"credulity"
"u4xtx2dm",14,5,"trust"
"u4xtx2dm",15,3,"mistrust"
"u4xtx2dm",16,5,"credulity"
"hyr1n3kv",1,5,"trust"
"hyr1n3kv",2,4,"trust"
"hyr1n3kv",3,4,"mistrust"
"hyr1n3kv",4,1,"mistrust"
"hyr1n3kv",5,4,"credulity"
"hyr1n3kv",6,4,"credulity"
"hyr1n3kv",7,3,"trust"
"hyr1n3kv",8,4,"trust"
"hyr1n3kv",9,4,"mistrust"
"hyr1n3kv",10,3,"catch"
"hyr1n3kv",11,4,"mistrust"
"hyr1n3kv",12,2,"credulity"
"hyr1n3kv",13,1,"credulity"
"hyr1n3kv",14,3,"trust"
"hyr1n3kv",15,3,"mistrust"
"hyr1n3kv",16,2,"credulity"
"lqvqzqdx",1,2,"trust"
"lqvqzqdx",2,3,"trust"
"lqvqzqdx",3,4,"mistrust"
"lqvqzqdx",4,4,"mistrust"
"lqvqzqdx",5,2,"credulity"
"lqvqzqdx",6,2,"credulity"
"lqvqzqdx",7,4,"trust"
"lqvqzqdx",8,4,"trust"
"lqvqzqdx",9,5,"mistrust"
"lqvqzqdx",10,3,"catch"
"lqvqzqdx",11,4,"mistrust"
"lqvqzqdx",12,3,"credulity"
"lqvqzqdx",13,1,"credulity"
"lqvqzqdx",14,3,"trust"
"lqvqzqdx",15,2,"mistrust"
"lqvqzqdx",16,4,"credulity"
"r51u22nk",1,4,"trust"
"r51u22nk",2,4,"trust"
"r51u22nk",3,3,"mistrust"
"r51u22nk",4,3,"mistrust"
"r51u22nk",5,4,"credulity"
"r51u22nk",6,1,"credulity"
"r51u22nk",7,3,"trust"
"r51u22nk",8,3,"trust"
"r51u22nk",9,2,"mistrust"
"r51u22nk",10,3,"catch"
"r51u22nk",11,4,"mistrust"
"r51u22nk",12,4,"credulity"
"r51u22nk",13,3,"credulity"
"r51u22nk",14,2,"trust"
"r51u22nk",15,3,"mistrust"
"r51u22nk",16,3,"credulity"
"b6eqjh4j",1,2,"trust"
"b6eqjh4j",2,5,"trust"
"b6eqjh4j",3,4,"mistrust"
"b6eqjh4j",4,3,"mistrust"
"b6eqjh4j",5,1,"credulity"
"b6eqjh4j",6,1,"credulity"
"b6eqjh4j",7,4,"trust"
"b6eqjh4j",8,5,"trust"
"b6eqjh4j",9,2,"mistrust"
"b6eqjh4j",10,3,"catch"
"b6eqjh4j",11,1,"mistrust"
"b6eqjh4j",12,1,"credulity"
"b6eqjh4j",13,0,"credulity"
"b6eqjh4j",14,4,"trust"
"b6eqjh4j",15,1,"mistrust"
"b6eqjh4j",16,1,"credulity"
"rnvw4em9",1,0,"trust"
"rnvw4em9",2,4,"trust"
"rnvw4em9",3,4,"mistrust"
"rnvw4em9",4,6,"mistrust"
"rnvw4em9",5,0,"credulity"
"rnvw4em9",6,0,"credulity"
"rnvw4em9",7,6,"trust"
"rnvw4em9",8,5,"trust"
"rnvw4em9",9,5,"mistrust"
"rnvw4em9",10,3,"catch"
"rnvw4em9",11,5,"mistrust"
"rnvw4em9",12,1,"credulity"
"rnvw4em9",13,1,"credulity"
"rnvw4em9",14,0,"trust"
"rnvw4em9",15,4,"mistrust"
"rnvw4em9",16,1,"credulity"
"18f9dq22",1,4,"trust"
"18f9dq22",2,4,"trust"
"18f9dq22",3,5,"mistrust"
"18f9dq22",4,4,"mistrust"
"18f9dq22",5,1,"credulity"
"18f9dq22",6,1,"credulity"
"18f9dq22",7,2,"trust"
"18f9dq22",8,5,"trust"
"18f9dq22",9,3,"mistrust"
"18f9dq22",10,3,"catch"
"18f9dq22",11,1,"mistrust"
"18f9dq22",12,1,"credulity"
"18f9dq22",13,1,"credulity"
"18f9dq22",14,1,"trust"
"18f9dq22",15,4,"mistrust"
"18f9dq22",16,4,"credulity"
"c51zqpl3",1,2,"trust"
"c51zqpl3",2,5,"trust"
"c51zqpl3",3,4,"mistrust"
"c51zqpl3",4,4,"mistrust"
"c51zqpl3",5,0,"credulity"
"c51zqpl3",6,0,"credulity"
"c51zqpl3",7,5,"trust"
"c51zqpl3",8,5,"trust"
"c51zqpl3",9,6,"mistrust"
"c51zqpl3",10,3,"catch"
"c51zqpl3",11,4,"mistrust"
"c51zqpl3",12,1,"credulity"
"c51zqpl3",13,0,"credulity"
"c51zqpl3",14,5,"trust"
"c51zqpl3",15,1,"mistrust"
"c51zqpl3",16,4,"credulity"
"4o5tm4u7",1,4,"trust"
"4o5tm4u7",2,3,"trust"
"4o5tm4u7",3,4,"mistrust"
"4o5tm4u7",4,3,"mistrust"
"4o5tm4u7",5,0,"credulity"
"4o5tm4u7",6,0,"credulity"
"4o5tm4u7",7,3,"trust"
"4o5tm4u7",8,6,"trust"
"4o5tm4u7",9,6,"mistrust"
"4o5tm4u7",10,3,"catch"
"4o5tm4u7",11,6,"mistrust"
"4o5tm4u7",12,4,"credulity"
"4o5tm4u7",13,0,"credulity"
"4o5tm4u7",14,5,"trust"
"4o5tm4u7",15,4,"mistrust"
"4o5tm4u7",16,6,"credulity"
"1nmj9t5e",1,4,"trust"
"1nmj9t5e",2,3,"trust"
"1nmj9t5e",3,5,"mistrust"
"1nmj9t5e",4,3,"mistrust"
"1nmj9t5e",5,1,"credulity"
"1nmj9t5e",6,1,"credulity"
"1nmj9t5e",7,4,"trust"
"1nmj9t5e",8,4,"trust"
"1nmj9t5e",9,4,"mistrust"
"1nmj9t5e",10,3,"catch"
"1nmj9t5e",11,2,"mistrust"
"1nmj9t5e",12,3,"credulity"
"1nmj9t5e",13,1,"credulity"
"1nmj9t5e",14,3,"trust"
"1nmj9t5e",15,3,"mistrust"
"1nmj9t5e",16,5,"credulity"
"291s3y34",1,0,"trust"
"291s3y34",2,5,"trust"
"291s3y34",3,6,"mistrust"
"291s3y34",4,4,"mistrust"
"291s3y34",5,1,"credulity"
"291s3y34",6,2,"credulity"
"291s3y34",7,6,"trust"
"291s3y34",8,6,"trust"
"291s3y34",9,1,"mistrust"
"291s3y34",10,3,"catch"
"291s3y34",11,2,"mistrust"
"291s3y34",12,1,"credulity"
"291s3y34",13,1,"credulity"
"291s3y34",14,0,"trust"
"291s3y34",15,1,"mistrust"
"291s3y34",16,1,"credulity"
"70umq1tk",1,1,"trust"
"70umq1tk",2,1,"trust"
"70umq1tk",3,5,"mistrust"
"70umq1tk",4,4,"mistrust"
"70umq1tk",5,1,"credulity"
"70umq1tk",6,2,"credulity"
"70umq1tk",7,4,"trust"
"70umq1tk",8,5,"trust"
"70umq1tk",9,4,"mistrust"
"70umq1tk",10,3,"catch"
"70umq1tk",11,4,"mistrust"
"70umq1tk",12,2,"credulity"
"70umq1tk",13,1,"credulity"
"70umq1tk",14,1,"trust"
"70umq1tk",15,4,"mistrust"
"70umq1tk",16,1,"credulity"
"am985rgq",1,1,"trust"
"am985rgq",2,3,"trust"
"am985rgq",3,6,"mistrust"
"am985rgq",4,5,"mistrust"
"am985rgq",5,1,"credulity"
"am985rgq",6,1,"credulity"
"am985rgq",7,1,"trust"
"am985rgq",8,1,"trust"
"am985rgq",9,5,"mistrust"
"am985rgq",10,3,"catch"
"am985rgq",11,4,"mistrust"
"am985rgq",12,1,"credulity"
"am985rgq",13,1,"credulity"
"am985rgq",14,1,"trust"
"am985rgq",15,3,"mistrust"
"am985rgq",16,2,"credulity"
"b6ofpl7r",1,4,"trust"
"b6ofpl7r",2,6,"trust"
"b6ofpl7r",3,2,"mistrust"
"b6ofpl7r",4,2,"mistrust"
"b6ofpl7r",5,0,"credulity"
"b6ofpl7r",6,1,"credulity"
"b6ofpl7r",7,5,"trust"
"b6ofpl7r",8,5,"trust"
"b6ofpl7r",9,4,"mistrust"
"b6ofpl7r",10,3,"catch"
"b6ofpl7r",11,4,"mistrust"
"b6ofpl7r",12,2,"credulity"
"b6ofpl7r",13,1,"credulity"
"b6ofpl7r",14,5,"trust"
"b6ofpl7r",15,2,"mistrust"
"b6ofpl7r",16,4,"credulity"
"d15mkf3r",1,4,"trust"
"d15mkf3r",2,6,"trust"
"d15mkf3r",3,3,"mistrust"
"d15mkf3r",4,1,"mistrust"
"d15mkf3r",5,0,"credulity"
"d15mkf3r",6,0,"credulity"
"d15mkf3r",7,6,"trust"
"d15mkf3r",8,6,"trust"
"d15mkf3r",9,3,"mistrust"
"d15mkf3r",10,3,"catch"
"d15mkf3r",11,2,"mistrust"
"d15mkf3r",12,0,"credulity"
"d15mkf3r",13,0,"credulity"
"d15mkf3r",14,4,"trust"
"d15mkf3r",15,0,"mistrust"
"d15mkf3r",16,0,"credulity"
"fys42wo9",1,2,"trust"
"fys42wo9",2,3,"trust"
"fys42wo9",3,5,"mistrust"
"fys42wo9",4,5,"mistrust"
"fys42wo9",5,1,"credulity"
"fys42wo9",6,1,"credulity"
"fys42wo9",7,4,"trust"
"fys42wo9",8,4,"trust"
"fys42wo9",9,5,"mistrust"
"fys42wo9",10,3,"catch"
"fys42wo9",11,0,"mistrust"
"fys42wo9",12,3,"credulity"
"fys42wo9",13,1,"credulity"
"fys42wo9",14,3,"trust"
"fys42wo9",15,2,"mistrust"
"fys42wo9",16,5,"credulity"
"jwyq6qpp",1,4,"trust"
"jwyq6qpp",2,2,"trust"
"jwyq6qpp",3,5,"mistrust"
"jwyq6qpp",4,3,"mistrust"
"jwyq6qpp",5,0,"credulity"
"jwyq6qpp",6,0,"credulity"
"jwyq6qpp",7,3,"trust"
"jwyq6qpp",8,3,"trust"
"jwyq6qpp",9,6,"mistrust"
"jwyq6qpp",10,3,"catch"
"jwyq6qpp",11,5,"mistrust"
"jwyq6qpp",12,0,"credulity"
"jwyq6qpp",13,0,"credulity"
"jwyq6qpp",14,3,"trust"
"jwyq6qpp",15,3,"mistrust"
"jwyq6qpp",16,0,"credulity"
"n2m3pmr0",1,4,"trust"
"n2m3pmr0",2,5,"trust"
"n2m3pmr0",3,4,"mistrust"
"n2m3pmr0",4,5,"mistrust"
"n2m3pmr0",5,5,"credulity"
"n2m3pmr0",6,4,"credulity"
"n2m3pmr0",7,5,"trust"
"n2m3pmr0",8,4,"trust"
"n2m3pmr0",9,5,"mistrust"
"n2m3pmr0",10,4,"catch"
"n2m3pmr0",11,5,"mistrust"
"n2m3pmr0",12,4,"credulity"
"n2m3pmr0",13,5,"credulity"
"n2m3pmr0",14,4,"trust"
"n2m3pmr0",15,5,"mistrust"
"n2m3pmr0",16,5,"credulity"
"sonwe5gk",1,0,"trust"
"sonwe5gk",2,3,"trust"
"sonwe5gk",3,6,"mistrust"
"sonwe5gk",4,6,"mistrust"
"sonwe5gk",5,0,"credulity"
"sonwe5gk",6,0,"credulity"
"sonwe5gk",7,3,"trust"
"sonwe5gk",8,4,"trust"
"sonwe5gk",9,3,"mistrust"
"sonwe5gk",10,3,"catch"
"sonwe5gk",11,6,"mistrust"
"sonwe5gk",12,1,"credulity"
"sonwe5gk",13,0,"credulity"
"sonwe5gk",14,4,"trust"
"sonwe5gk",15,2,"mistrust"
"sonwe5gk",16,3,"credulity"
"tjr9hr3g",1,0,"trust"
"tjr9hr3g",2,5,"trust"
"tjr9hr3g",3,6,"mistrust"
"tjr9hr3g",4,6,"mistrust"
"tjr9hr3g",5,1,"credulity"
"tjr9hr3g",6,2,"credulity"
"tjr9hr3g",7,4,"trust"
"tjr9hr3g",8,5,"trust"
"tjr9hr3g",9,4,"mistrust"
"tjr9hr3g",10,3,"catch"
"tjr9hr3g",11,3,"mistrust"
"tjr9hr3g",12,2,"credulity"
"tjr9hr3g",13,0,"credulity"
"tjr9hr3g",14,1,"trust"
"tjr9hr3g",15,3,"mistrust"
"tjr9hr3g",16,3,"credulity"
"tmp1wbhd",1,2,"trust"
"tmp1wbhd",2,5,"trust"
"tmp1wbhd",3,5,"mistrust"
"tmp1wbhd",4,5,"mistrust"
"tmp1wbhd",5,2,"credulity"
"tmp1wbhd",6,3,"credulity"
"tmp1wbhd",7,5,"trust"
"tmp1wbhd",8,5,"trust"
"tmp1wbhd",9,5,"mistrust"
"tmp1wbhd",10,3,"catch"
"tmp1wbhd",11,5,"mistrust"
"tmp1wbhd",12,2,"credulity"
"tmp1wbhd",13,1,"credulity"
"tmp1wbhd",14,4,"trust"
"tmp1wbhd",15,3,"mistrust"
"tmp1wbhd",16,4,"credulity"
"tnvyypzj",1,3,"trust"
"tnvyypzj",2,4,"trust"
"tnvyypzj",3,3,"mistrust"
"tnvyypzj",4,3,"mistrust"
"tnvyypzj",5,1,"credulity"
"tnvyypzj",6,2,"credulity"
"tnvyypzj",7,4,"trust"
"tnvyypzj",8,5,"trust"
"tnvyypzj",9,3,"mistrust"
"tnvyypzj",10,3,"catch"
"tnvyypzj",11,3,"mistrust"
"tnvyypzj",12,2,"credulity"
"tnvyypzj",13,2,"credulity"
"tnvyypzj",14,3,"trust"
"tnvyypzj",15,2,"mistrust"
"tnvyypzj",16,2,"credulity"
"xpv2212l",1,0,"trust"
"xpv2212l",2,6,"trust"
"xpv2212l",3,6,"mistrust"
"xpv2212l",4,6,"mistrust"
"xpv2212l",5,0,"credulity"
"xpv2212l",6,0,"credulity"
"xpv2212l",7,6,"trust"
"xpv2212l",8,6,"trust"
"xpv2212l",9,5,"mistrust"
"xpv2212l",10,3,"catch"
"xpv2212l",11,6,"mistrust"
"xpv2212l",12,5,"credulity"
"xpv2212l",13,4,"credulity"
"xpv2212l",14,1,"trust"
"xpv2212l",15,4,"mistrust"
"xpv2212l",16,5,"credulity"
"djtn3kql",1,1,"trust"
"djtn3kql",2,6,"trust"
"djtn3kql",3,5,"mistrust"
"djtn3kql",4,2,"mistrust"
"djtn3kql",5,0,"credulity"
"djtn3kql",6,0,"credulity"
"djtn3kql",7,4,"trust"
"djtn3kql",8,4,"trust"
"djtn3kql",9,4,"mistrust"
"djtn3kql",10,3,"catch"
"djtn3kql",11,4,"mistrust"
"djtn3kql",12,0,"credulity"
"djtn3kql",13,0,"credulity"
"djtn3kql",14,1,"trust"
"djtn3kql",15,2,"mistrust"
"djtn3kql",16,5,"credulity"
"upd5hxem",1,2,"trust"
"upd5hxem",2,3,"trust"
"upd5hxem",3,5,"mistrust"
"upd5hxem",4,4,"mistrust"
"upd5hxem",5,0,"credulity"
"upd5hxem",6,0,"credulity"
"upd5hxem",7,3,"trust"
"upd5hxem",8,4,"trust"
"upd5hxem",9,4,"mistrust"
"upd5hxem",10,3,"catch"
"upd5hxem",11,2,"mistrust"
"upd5hxem",12,0,"credulity"
"upd5hxem",13,0,"credulity"
"upd5hxem",14,1,"trust"
"upd5hxem",15,2,"mistrust"
"upd5hxem",16,0,"credulity"
"b2u6r871",1,1,"trust"
"b2u6r871",2,4,"trust"
"b2u6r871",3,4,"mistrust"
"b2u6r871",4,3,"mistrust"
"b2u6r871",5,2,"credulity"
"b2u6r871",6,4,"credulity"
"b2u6r871",7,4,"trust"
"b2u6r871",8,4,"trust"
"b2u6r871",9,5,"mistrust"
"b2u6r871",10,3,"catch"
"b2u6r871",11,5,"mistrust"
"b2u6r871",12,2,"credulity"
"b2u6r871",13,2,"credulity"
"b2u6r871",14,4,"trust"
"b2u6r871",15,4,"mistrust"
"b2u6r871",16,4,"credulity"
"a2juvku1",1,0,"trust"
"a2juvku1",2,4,"trust"
"a2juvku1",3,5,"mistrust"
"a2juvku1",4,2,"mistrust"
"a2juvku1",5,0,"credulity"
"a2juvku1",6,1,"credulity"
"a2juvku1",7,1,"trust"
"a2juvku1",8,2,"trust"
"a2juvku1",9,4,"mistrust"
"a2juvku1",10,3,"catch"
"a2juvku1",11,0,"mistrust"
"a2juvku1",12,1,"credulity"
"a2juvku1",13,0,"credulity"
"a2juvku1",14,1,"trust"
"a2juvku1",15,2,"mistrust"
"a2juvku1",16,1,"credulity"
"a46wwr88",1,2,"trust"
"a46wwr88",2,4,"trust"
"a46wwr88",3,3,"mistrust"
"a46wwr88",4,1,"mistrust"
"a46wwr88",5,0,"credulity"
"a46wwr88",6,2,"credulity"
"a46wwr88",7,3,"trust"
"a46wwr88",8,5,"trust"
"a46wwr88",9,4,"mistrust"
"a46wwr88",10,3,"catch"
"a46wwr88",11,1,"mistrust"
"a46wwr88",12,2,"credulity"
"a46wwr88",13,0,"credulity"
"a46wwr88",14,3,"trust"
"a46wwr88",15,3,"mistrust"
"a46wwr88",16,4,"credulity"
"quyu5021",1,1,"trust"
"quyu5021",2,4,"trust"
"quyu5021",3,6,"mistrust"
"quyu5021",4,5,"mistrust"
"quyu5021",5,0,"credulity"
"quyu5021",6,0,"credulity"
"quyu5021",7,6,"trust"
"quyu5021",8,4,"trust"
"quyu5021",9,6,"mistrust"
"quyu5021",10,3,"catch"
"quyu5021",11,4,"mistrust"
"quyu5021",12,5,"credulity"
"quyu5021",13,0,"credulity"
"quyu5021",14,1,"trust"
"quyu5021",15,2,"mistrust"
"quyu5021",16,5,"credulity"
"uh2ltc62",1,1,"trust"
"uh2ltc62",2,1,"trust"
"uh2ltc62",3,6,"mistrust"
"uh2ltc62",4,3,"mistrust"
"uh2ltc62",5,1,"credulity"
"uh2ltc62",6,0,"credulity"
"uh2ltc62",7,4,"trust"
"uh2ltc62",8,4,"trust"
"uh2ltc62",9,3,"mistrust"
"uh2ltc62",10,3,"catch"
"uh2ltc62",11,2,"mistrust"
"uh2ltc62",12,0,"credulity"
"uh2ltc62",13,0,"credulity"
"uh2ltc62",14,3,"trust"
"uh2ltc62",15,3,"mistrust"
"uh2ltc62",16,1,"credulity"
"3g586t5p",1,3,"trust"
"3g586t5p",2,1,"trust"
"3g586t5p",3,6,"mistrust"
"3g586t5p",4,3,"mistrust"
"3g586t5p",5,1,"credulity"
"3g586t5p",6,2,"credulity"
"3g586t5p",7,4,"trust"
"3g586t5p",8,3,"trust"
"3g586t5p",9,4,"mistrust"
"3g586t5p",10,3,"catch"
"3g586t5p",11,3,"mistrust"
"3g586t5p",12,1,"credulity"
"3g586t5p",13,1,"credulity"
"3g586t5p",14,1,"trust"
"3g586t5p",15,3,"mistrust"
"3g586t5p",16,3,"credulity"
"evo31suv",1,2,"trust"
"evo31suv",2,5,"trust"
"evo31suv",3,5,"mistrust"
"evo31suv",4,2,"mistrust"
"evo31suv",5,0,"credulity"
"evo31suv",6,1,"credulity"
"evo31suv",7,5,"trust"
"evo31suv",8,4,"trust"
"evo31suv",9,4,"mistrust"
"evo31suv",10,3,"catch"
"evo31suv",11,2,"mistrust"
"evo31suv",12,1,"credulity"
"evo31suv",13,0,"credulity"
"evo31suv",14,2,"trust"
"evo31suv",15,2,"mistrust"
"evo31suv",16,4,"credulity"
"gme3u3n7",1,5,"trust"
"gme3u3n7",2,5,"trust"
"gme3u3n7",3,3,"mistrust"
"gme3u3n7",4,4,"mistrust"
"gme3u3n7",5,1,"credulity"
"gme3u3n7",6,1,"credulity"
"gme3u3n7",7,4,"trust"
"gme3u3n7",8,5,"trust"
"gme3u3n7",9,1,"mistrust"
"gme3u3n7",10,3,"catch"
"gme3u3n7",11,2,"mistrust"
"gme3u3n7",12,2,"credulity"
"gme3u3n7",13,0,"credulity"
"gme3u3n7",14,5,"trust"
"gme3u3n7",15,1,"mistrust"
"gme3u3n7",16,1,"credulity"
"m6wpf6z8",1,1,"trust"
"m6wpf6z8",2,1,"trust"
"m6wpf6z8",3,5,"mistrust"
"m6wpf6z8",4,4,"mistrust"
"m6wpf6z8",5,3,"credulity"
"m6wpf6z8",6,1,"credulity"
"m6wpf6z8",7,4,"trust"
"m6wpf6z8",8,3,"trust"
"m6wpf6z8",9,2,"mistrust"
"m6wpf6z8",10,3,"catch"
"m6wpf6z8",11,1,"mistrust"
"m6wpf6z8",12,4,"credulity"
"m6wpf6z8",13,0,"credulity"
"m6wpf6z8",14,2,"trust"
"m6wpf6z8",15,1,"mistrust"
"m6wpf6z8",16,5,"credulity"
"rlqv1xue",1,4,"trust"
"rlqv1xue",2,4,"trust"
"rlqv1xue",3,5,"mistrust"
"rlqv1xue",4,5,"mistrust"
"rlqv1xue",5,2,"credulity"
"rlqv1xue",6,1,"credulity"
"rlqv1xue",7,2,"trust"
"rlqv1xue",8,5,"trust"
"rlqv1xue",9,4,"mistrust"
"rlqv1xue",10,3,"catch"
"rlqv1xue",11,4,"mistrust"
"rlqv1xue",12,1,"credulity"
"rlqv1xue",13,1,"credulity"
"rlqv1xue",14,4,"trust"
"rlqv1xue",15,4,"mistrust"
"rlqv1xue",16,4,"credulity"
"s1g3px8g",1,4,"trust"
"s1g3px8g",2,5,"trust"
"s1g3px8g",3,2,"mistrust"
"s1g3px8g",4,3,"mistrust"
"s1g3px8g",5,0,"credulity"
"s1g3px8g",6,1,"credulity"
"s1g3px8g",7,3,"trust"
"s1g3px8g",8,5,"trust"
"s1g3px8g",9,5,"mistrust"
"s1g3px8g",10,3,"catch"
"s1g3px8g",11,4,"mistrust"
"s1g3px8g",12,0,"credulity"
"s1g3px8g",13,0,"credulity"
"s1g3px8g",14,5,"trust"
"s1g3px8g",15,2,"mistrust"
"s1g3px8g",16,0,"credulity"
"t042j0zp",1,5,"trust"
"t042j0zp",2,5,"trust"
"t042j0zp",3,1,"mistrust"
"t042j0zp",4,1,"mistrust"
"t042j0zp",5,1,"credulity"
"t042j0zp",6,2,"credulity"
"t042j0zp",7,5,"trust"
"t042j0zp",8,6,"trust"
"t042j0zp",9,4,"mistrust"
"t042j0zp",10,3,"catch"
"t042j0zp",11,1,"mistrust"
"t042j0zp",12,1,"credulity"
"t042j0zp",13,1,"credulity"
"t042j0zp",14,5,"trust"
"t042j0zp",15,1,"mistrust"
"t042j0zp",16,2,"credulity"
"4fhclpht",1,5,"trust"
"4fhclpht",2,4,"trust"
"4fhclpht",3,3,"mistrust"
"4fhclpht",4,3,"mistrust"
"4fhclpht",5,1,"credulity"
"4fhclpht",6,2,"credulity"
"4fhclpht",7,5,"trust"
"4fhclpht",8,5,"trust"
"4fhclpht",9,3,"mistrust"
"4fhclpht",10,3,"catch"
"4fhclpht",11,4,"mistrust"
"4fhclpht",12,1,"credulity"
"4fhclpht",13,1,"credulity"
"4fhclpht",14,4,"trust"
"4fhclpht",15,2,"mistrust"
"4fhclpht",16,1,"credulity"
"c1xhoekk",1,4,"trust"
"c1xhoekk",2,6,"trust"
"c1xhoekk",3,6,"mistrust"
"c1xhoekk",4,4,"mistrust"
"c1xhoekk",5,0,"credulity"
"c1xhoekk",6,2,"credulity"
"c1xhoekk",7,6,"trust"
"c1xhoekk",8,6,"trust"
"c1xhoekk",9,0,"mistrust"
"c1xhoekk",10,3,"catch"
"c1xhoekk",11,6,"mistrust"
